age,population
30% Министерство экономического развития РФ,30
27% Администрация Президента РФ,27
2% Министерство финансов РФ, 2
2% Внешэкономбанк, 2
2% ПАО "Газпром нефть",2
2% ПАО "Мегафон",2
3% Федеральная налоговая служба,3
18% Министерство юстиции РФ,18
3% Росгвардия,3
3% ПАО "Сибур Холдинг",3
3% Специальный представитель Президента РФ по международному сотрудничеству в Арктике и Антарктике,3
10% Банк ГПБ АО,10
